Date,Latitude,Longitude,Temperature_C,Humidity_%,AOD,Fires_Nearby,PM2.5,CO,AQI
2025-06-09,8.9973,73.5687,24.8,42.6,0.911,2,84.8,18.06,100
2025-06-16,34.3703,87.3339,34.2,65.6,0.393,1,48.5,7.04,50
2025-06-13,15.5046,86.078,34.1,69.6,0.76,2,74.4,14.74,100
2025-06-15,27.2131,85.4716,27.3,74.5,0.763,2,83.4,16.26,100
2025-06-30,17.0396,82.2038,37.6,59.5,0.117,1,33.2,3.32,50
2025-06-14,23.082,83.331,36.0,48.2,0.425,4,50.6,9.03,100
2025-06-29,23.8546,77.6988,36.9,87.7,0.117,2,28.8,1.0,50
2025-06-15,13.3608,83.0601,32.0,62.8,0.997,0,113.1,20.94,200
2025-06-30,36.118,73.7291,24.9,71.0,0.21,3,15.6,6.48,50
2025-06-28,30.4789,91.3501,36.9,44.1,0.589,1,58.9,13.71,100
2025-06-21,35.2455,73.3875,30.6,66.9,0.812,4,89.0,16.15,100
2025-06-24,33.95,70.464,25.1,38.0,0.281,2,21.3,4.97,50
2025-06-12,25.3391,80.6511,38.8,37.2,0.537,4,56.0,14.39,100
2025-06-18,34.7344,87.0909,42.5,70.0,0.647,5,93.8,17.23,100
2025-06-22,10.5663,80.6938,31.8,56.5,0.244,2,29.5,5.06,50
2025-06-17,13.6835,76.0259,42.8,67.8,0.801,0,97.0,14.11,100
2025-06-15,9.3116,84.187,32.5,38.9,0.369,4,61.4,7.98,100
2025-06-17,17.4346,78.0631,30.1,61.9,0.29,1,23.7,4.37,50
2025-06-24,19.2716,95.0532,28.8,51.1,0.602,3,49.0,15.14,50
2025-06-11,15.8691,94.7567,40.2,61.8,0.469,3,63.8,12.31,100
2025-06-07,32.0334,82.5688,28.1,40.4,0.928,1,88.4,19.22,100
2025-06-04,18.3458,77.5086,35.7,70.1,0.892,4,92.2,18.48,100
2025-06-02,16.1471,89.3768,29.2,76.4,0.535,3,66.4,10.44,100
2025-06-26,23.7382,69.0647,29.7,38.2,0.423,1,30.6,7.73,50
2025-06-24,12.0868,81.7683,37.2,41.0,0.393,1,53.2,6.58,100
2025-06-16,31.2637,77.7534,30.1,66.3,0.341,4,35.1,9.27,50
2025-06-23,10.162,94.6955,30.0,68.7,0.59,0,58.9,13.32,100
2025-06-28,36.6197,68.3481,37.7,69.3,0.824,2,105.5,19.07,200
2025-06-23,30.3951,84.0316,40.0,67.8,0.38,1,73.5,6.33,100
2025-06-26,13.7628,89.4792,35.2,47.5,0.271,1,34.9,4.72,50
2025-06-19,8.1601,82.0655,28.7,47.6,0.528,3,59.7,10.95,100
2025-06-11,31.6484,70.4767,29.4,37.8,0.162,4,15.7,7.28,50
2025-06-22,28.4989,96.2014,32.4,31.0,0.731,1,77.5,12.45,100
2025-06-13,29.1412,83.0223,33.6,68.5,0.567,2,66.6,12.33,100
2025-06-12,30.3668,85.8114,27.1,26.5,0.547,0,52.0,9.19,100
2025-06-13,10.1473,74.8617,35.6,85.6,0.37,2,36.3,8.02,50
2025-06-22,18.3955,82.0214,32.4,77.9,0.914,2,108.3,20.67,200
2025-06-09,11.3602,80.4453,23.4,80.0,0.181,3,12.7,4.47,50
2025-06-01,33.03,70.172,27.4,83.5,0.883,1,83.9,16.65,100
2025-06-07,26.0756,71.0787,29.5,48.6,0.439,1,36.9,10.78,50
2025-06-20,17.596,92.2867,31.6,79.3,0.893,2,94.6,19.12,100
2025-06-19,9.8432,74.9548,41.4,31.1,0.756,0,90.3,16.08,100
2025-06-15,17.0185,73.6538,33.2,21.5,0.194,1,26.0,4.91,50
2025-06-27,17.4303,82.6424,27.8,74.9,0.848,5,79.6,17.03,100
2025-06-08,29.1586,90.2937,33.1,25.2,0.714,2,67.7,17.89,100
2025-06-13,26.4892,69.7964,30.2,89.2,0.129,3,29.3,3.68,50
2025-06-04,33.7292,84.7274,33.6,67.2,0.22,3,18.0,7.58,50
2025-06-05,21.6942,71.4571,34.9,72.7,0.672,3,66.7,14.24,100
2025-06-25,11.4682,69.0574,38.0,37.2,0.696,2,88.4,16.05,100
2025-06-19,28.6841,69.5296,31.9,67.2,0.772,3,83.1,18.96,100
2025-06-12,30.0628,92.1908,40.2,23.0,0.748,2,96.7,17.72,100
2025-06-02,24.277,71.4212,36.5,78.6,0.694,2,84.2,15.09,100
2025-06-11,30.358,69.3094,28.5,31.9,0.79,3,69.2,16.62,100
2025-06-29,22.3201,80.6991,43.0,68.8,0.618,0,88.0,9.54,100
2025-06-13,23.1593,92.4758,33.6,35.7,0.335,0,32.5,4.22,50
2025-06-09,20.3987,75.6098,27.8,24.8,0.921,3,99.3,22.15,100
2025-06-09,8.7372,80.2297,40.3,53.7,0.116,1,17.1,1.17,50
2025-06-15,11.1289,69.1578,42.4,31.9,0.43,2,53.7,11.21,100
2025-06-12,8.9114,81.0233,31.8,71.1,0.756,2,70.7,17.95,100
2025-06-26,26.4559,84.7508,29.5,36.6,0.484,4,50.8,12.59,100
2025-06-27,17.1163,84.5563,31.1,44.0,0.122,2,13.3,4.22,50
2025-06-08,22.7486,77.6404,35.6,59.7,0.159,1,25.4,1.35,50
2025-06-15,34.3194,77.1505,38.4,39.9,0.684,1,79.8,11.48,100
2025-06-07,15.2295,71.0921,34.9,46.5,0.968,0,103.6,18.04,200
2025-06-28,19.9011,78.6372,32.5,77.1,0.597,0,58.6,15.25,100
2025-06-02,29.911,70.8853,39.5,32.5,0.556,0,54.7,13.87,100
2025-06-19,14.6351,90.2313,30.4,25.8,0.386,1,25.2,8.29,50
2025-06-06,10.2324,96.022,37.2,43.0,0.331,0,35.9,9.21,50
2025-06-27,16.4028,96.1322,30.6,49.7,0.119,2,10.0,1.51,50
2025-06-26,12.6754,93.0871,34.2,58.0,0.346,1,55.5,6.68,100
2025-06-14,34.9612,85.423,31.4,46.1,0.504,2,42.3,14.25,50
2025-06-05,31.4355,88.3251,31.7,75.3,0.278,4,19.4,11.76,50
2025-06-19,26.3687,76.271,30.1,22.8,0.179,1,10.0,5.62,50
2025-06-19,33.2724,86.2923,38.7,50.2,0.746,3,92.7,13.24,100
2025-06-22,31.3065,81.2138,28.3,46.8,0.905,2,85.8,21.8,100
2025-06-16,13.4105,81.9785,28.3,65.3,0.943,4,78.8,20.32,100
2025-06-27,33.8842,89.9755,42.6,87.6,0.656,4,84.2,16.57,100
2025-06-14,23.6409,76.1756,36.9,55.7,0.147,4,19.2,5.14,50
2025-06-13,31.4158,77.2231,20.1,89.1,0.767,2,74.8,18.35,100
2025-06-03,33.9866,94.8146,29.2,41.2,0.199,3,12.0,5.57,50
2025-06-08,17.2221,69.6305,22.9,22.2,0.703,2,76.6,20.52,100
2025-06-10,11.1915,82.0834,27.2,31.6,0.801,0,77.6,17.95,100
2025-06-16,14.6101,94.4712,16.3,47.7,0.753,2,50.8,13.54,100
2025-06-27,20.3861,85.7005,31.3,42.1,0.957,2,95.1,16.78,100
2025-06-23,31.7224,83.8458,26.3,26.8,0.764,4,73.8,13.95,100
2025-06-18,32.9612,75.2426,32.3,50.3,0.724,3,73.2,17.17,100
2025-06-13,8.2016,77.955,23.9,43.7,0.336,0,15.2,8.64,50
2025-06-15,22.8117,92.7094,32.4,28.6,0.932,1,103.1,13.92,200
2025-06-23,20.1049,84.2173,29.9,40.7,0.262,2,36.0,8.68,50
2025-06-11,14.4411,82.9275,39.5,82.1,0.914,3,115.9,20.48,200
2025-06-24,11.4761,70.8878,39.1,41.1,0.381,3,50.1,12.35,100
2025-06-28,17.7908,68.4648,35.9,70.0,0.217,2,41.5,3.4,50
2025-06-30,35.3444,95.9469,30.4,62.8,0.844,1,88.2,17.96,100
2025-06-08,17.3729,78.9326,41.9,49.9,0.102,1,25.1,3.11,50
2025-06-26,23.0449,85.4932,24.2,36.7,0.849,2,70.6,16.43,100
2025-06-04,28.3875,70.3117,25.0,45.8,0.336,3,35.3,5.68,50
2025-06-21,18.5453,87.8103,31.6,61.4,0.896,1,75.2,20.28,100
2025-06-24,36.1817,95.0444,43.3,44.6,0.722,1,106.0,15.4,200
2025-06-29,35.911,84.6943,31.0,35.0,0.7,0,72.8,14.79,100
2025-06-19,15.3017,71.6573,31.1,28.2,0.429,2,38.6,12.31,50
2025-06-12,22.4202,84.8699,24.8,81.6,0.153,5,10.0,5.48,50
2025-06-24,16.7255,90.2241,36.7,50.8,0.847,1,90.3,18.07,100
2025-06-22,16.2604,79.7861,36.8,63.8,0.254,2,42.7,6.78,50
2025-06-29,9.0697,93.5153,35.9,54.3,0.435,1,55.5,9.96,100
2025-06-13,25.6774,86.8118,28.9,81.1,0.64,1,57.8,10.48,100
2025-06-05,22.5777,94.0782,28.5,58.3,0.534,1,45.7,11.14,50
2025-06-13,9.4929,86.0817,25.5,53.7,0.279,2,24.3,8.9,50
2025-06-07,16.0807,71.8074,32.4,84.7,0.227,2,53.7,5.28,100
2025-06-26,34.3397,76.9811,26.6,70.4,0.211,1,43.3,3.77,50
2025-06-15,14.9473,73.8521,26.1,27.8,0.877,0,92.4,19.48,100
2025-06-09,12.202,94.356,29.9,32.4,0.128,0,10.0,2.59,50
2025-06-06,22.1941,90.0516,29.6,75.1,0.979,4,104.8,20.32,200
2025-06-25,36.5839,87.6156,29.3,78.5,0.279,3,19.4,5.36,50
2025-06-11,15.0196,76.728,34.3,58.2,0.199,3,24.1,5.37,50
2025-06-16,27.4919,73.3373,32.4,58.8,0.619,2,79.2,12.06,100
2025-06-09,30.087,89.9371,30.6,64.2,0.172,1,15.7,5.74,50
2025-06-15,14.8915,81.7506,32.9,50.7,0.642,3,65.7,12.82,100
2025-06-21,29.1183,74.5479,27.0,67.6,0.866,2,77.0,18.88,100
2025-06-07,18.6657,85.882,32.5,27.6,0.143,2,10.0,4.7,50
2025-06-15,26.3369,69.1697,32.8,87.3,0.82,3,83.6,19.17,100
2025-06-02,26.3724,77.4589,24.5,72.5,0.455,2,44.7,13.24,50
2025-06-13,23.5375,81.5882,37.0,64.2,0.244,0,41.7,2.17,50
2025-06-17,10.6184,72.2908,27.6,42.1,0.258,3,25.1,7.88,50
2025-06-11,32.2238,96.555,32.5,31.3,0.927,3,108.2,21.29,200
2025-06-08,17.3026,74.0638,37.8,48.7,0.2,2,14.5,2.83,50
2025-06-28,13.409,71.7802,36.6,66.3,0.88,4,98.4,20.12,100
2025-06-21,9.1825,73.9025,32.2,64.4,0.59,0,55.2,10.96,100
2025-06-01,25.1359,90.3028,30.2,46.8,0.135,2,33.6,6.5,50
2025-06-21,27.6494,80.3397,36.7,62.9,0.518,2,59.3,10.22,100
2025-06-08,8.481,84.3971,35.4,77.0,0.836,2,99.1,17.29,100
2025-06-12,22.8507,68.6093,28.9,21.8,0.754,3,83.7,15.82,100
2025-06-13,14.5684,68.9985,28.0,51.5,0.54,0,47.3,9.12,50
2025-06-28,26.71,80.9289,21.6,73.1,0.874,0,84.1,14.38,100
2025-06-15,13.0566,91.683,32.8,58.2,0.208,0,35.4,2.49,50
2025-06-09,28.0372,93.6719,31.6,65.6,0.919,2,102.2,19.67,200
2025-06-01,19.2153,70.5145,37.7,56.2,0.862,1,92.5,18.3,100
2025-06-13,35.1652,83.6125,33.8,89.4,0.737,1,65.1,16.86,100
2025-06-02,11.9881,94.4837,38.7,23.8,0.836,2,118.0,19.82,200
2025-06-24,17.8909,79.2512,28.5,54.4,0.589,5,53.7,15.08,100
2025-06-21,11.2907,92.0574,37.7,26.4,0.708,4,92.4,17.75,100
2025-06-07,34.8161,71.8772,29.4,31.2,0.605,3,55.0,14.65,100
2025-06-13,33.4428,95.1264,35.9,46.8,0.42,1,71.8,6.7,100
2025-06-01,15.4803,89.7913,24.7,30.9,0.612,1,48.3,13.5,50
2025-06-06,27.1395,95.2987,33.2,87.5,0.332,1,39.0,7.16,50
2025-06-27,31.6994,87.6219,22.1,86.3,0.496,3,61.0,10.29,100
2025-06-27,24.1008,78.5387,30.7,43.5,0.353,1,20.4,7.58,50
2025-06-13,23.3599,95.2073,34.2,64.8,0.211,0,39.5,4.93,50
2025-06-05,15.0137,75.9914,29.4,57.4,0.39,5,37.8,9.9,50
2025-06-26,10.7,77.633,26.7,77.1,0.867,1,88.8,19.82,100
2025-06-19,34.0193,88.3234,36.2,63.9,0.443,2,50.1,10.54,100
2025-06-08,34.1121,90.1942,31.5,20.0,0.773,1,95.9,17.71,100
2025-06-04,26.3599,94.9527,29.6,73.4,0.258,0,17.1,7.67,50
2025-06-24,17.8319,73.9393,32.2,72.3,0.482,0,51.9,8.85,100
2025-06-28,18.1271,91.1419,45.2,55.7,0.203,0,52.5,3.17,100
2025-06-19,29.0527,89.4178,37.8,83.2,0.225,2,26.0,7.81,50
2025-06-11,34.0162,69.85,37.8,83.6,0.656,2,78.6,12.58,100
2025-06-30,33.7255,79.2295,34.2,56.7,0.647,2,60.7,13.74,100
2025-06-17,30.6164,76.2002,32.8,62.6,0.292,2,29.4,5.87,50
2025-06-02,26.6189,76.8302,20.0,89.8,0.527,1,63.9,9.06,100
2025-06-02,10.4401,96.5055,28.6,40.9,0.877,3,99.0,20.04,100
2025-06-20,12.6872,86.6405,29.6,42.7,0.257,2,31.8,5.6,50
2025-06-15,34.0581,88.8126,22.6,32.8,0.117,4,10.0,2.49,50
2025-06-05,25.5864,96.3219,26.2,82.7,0.687,3,47.3,17.09,50
2025-06-15,8.2667,78.9389,22.1,72.1,0.148,1,10.0,0.81,50
2025-06-23,10.9427,91.2534,31.8,27.4,0.982,1,110.1,19.84,200
2025-06-27,27.2416,80.6014,36.1,88.7,0.649,2,69.6,15.76,100
2025-06-22,8.1468,93.2165,37.5,71.2,0.523,3,67.2,13.79,100
2025-06-06,12.6634,73.2391,34.1,79.5,0.487,3,44.8,12.1,50
2025-06-23,23.9133,95.4829,27.2,23.4,0.616,2,46.5,11.56,50
2025-06-27,28.065,74.3444,22.3,55.3,0.182,0,29.5,3.96,50
2025-06-12,26.9069,77.4604,23.2,68.9,0.937,1,104.8,19.95,200
2025-06-24,14.5038,89.9296,25.7,58.0,0.663,3,59.0,13.88,100
2025-06-29,28.6532,79.4189,27.6,66.7,0.266,4,15.2,8.07,50
2025-06-22,14.8802,85.6381,31.2,77.3,0.606,2,53.0,10.16,100
2025-06-05,17.4366,80.8926,26.9,46.2,0.22,4,21.4,2.89,50
2025-06-11,29.6483,89.5287,33.7,79.4,0.116,3,36.5,2.54,50
2025-06-04,26.8394,74.6216,30.8,31.4,0.667,1,60.9,15.23,100
2025-06-03,32.6275,69.6953,32.1,39.0,0.684,2,73.5,16.4,100
2025-06-27,27.0708,76.698,37.7,23.0,0.625,3,75.5,11.44,100
2025-06-09,24.4809,81.755,26.1,45.5,0.265,2,37.3,9.24,50
2025-06-22,10.7166,72.8726,34.1,46.6,0.643,2,73.3,14.04,100
2025-06-30,18.6638,78.2891,31.9,76.4,0.151,2,10.0,0.92,50
2025-06-29,15.6909,79.5995,30.3,65.7,0.648,1,72.8,14.07,100
2025-06-11,15.0757,69.6644,36.4,50.6,0.599,3,71.2,16.02,100
2025-06-18,36.2173,84.9159,36.4,65.6,0.69,4,69.9,14.83,100
2025-06-19,19.3998,93.646,27.3,23.7,0.906,1,97.2,20.57,100
2025-06-28,33.8694,72.4005,31.1,32.6,0.865,1,85.0,20.68,100
2025-06-28,26.303,85.3364,33.4,63.9,0.983,1,106.7,20.24,200
2025-06-02,31.0495,87.2774,30.6,64.9,0.979,2,100.2,19.09,200
2025-06-28,22.5765,80.1607,34.9,74.2,0.795,3,83.9,19.74,100
2025-06-14,24.7302,88.3318,33.4,48.2,0.961,2,93.1,22.55,100
2025-06-19,22.283,79.9112,41.2,70.6,0.881,4,110.5,17.1,200
2025-06-22,13.662,82.6345,24.3,67.9,0.755,2,54.7,15.9,100
2025-06-26,28.9511,68.2132,31.4,87.4,0.168,1,28.2,5.3,50
2025-06-13,16.1424,88.0599,27.5,35.1,0.144,4,10.0,6.43,50
2025-06-23,8.7052,87.1789,35.0,58.6,0.854,1,81.3,17.0,100
2025-06-01,26.7187,69.1136,23.9,62.1,0.541,2,59.0,9.9,100
2025-06-07,13.1362,78.6793,33.7,89.9,0.833,5,89.8,22.3,100
2025-06-17,35.2733,96.3919,28.8,34.1,0.382,0,17.4,7.82,50
2025-06-12,35.6639,80.2014,28.3,56.6,0.458,2,43.1,9.8,50
2025-06-11,34.5311,82.5564,24.8,44.2,0.73,2,71.3,14.42,100
2025-06-29,18.7346,94.388,29.7,56.8,0.924,1,98.3,18.58,100
2025-06-15,8.4482,88.8006,37.4,36.2,0.179,4,21.3,2.43,50
2025-06-14,34.9212,84.88,31.9,23.3,0.875,7,84.0,23.0,100
2025-06-13,20.4173,91.1363,35.1,60.1,0.814,5,90.7,18.24,100
2025-06-18,36.033,93.0666,40.3,43.5,0.384,2,64.2,4.48,100
2025-06-11,35.945,81.2498,33.3,32.7,0.42,4,33.8,8.43,50
2025-06-15,32.7373,81.7781,29.2,42.7,0.142,3,10.0,6.26,50
2025-06-05,16.539,79.1955,34.3,23.4,0.114,2,31.6,3.0,50
2025-06-17,19.1678,96.0345,29.3,86.5,0.529,2,64.0,10.0,100
2025-06-27,32.683,88.2178,29.5,60.7,0.186,1,10.0,4.48,50
2025-06-07,17.1907,70.4135,24.4,77.0,0.275,2,15.2,5.9,50
2025-06-06,12.9153,93.0258,36.6,49.6,0.862,5,117.2,19.96,200
2025-06-19,24.1472,81.9362,30.1,83.2,0.614,0,70.4,12.92,100
2025-06-17,35.1485,69.9939,32.9,53.8,0.67,0,70.9,11.77,100
2025-06-06,28.1849,83.9418,26.8,60.2,0.269,3,33.5,5.73,50
2025-06-15,24.5318,80.0978,34.2,54.4,0.846,2,86.1,16.45,100
2025-06-03,10.8181,93.4547,28.2,71.3,0.881,2,87.0,17.21,100
2025-06-24,25.8352,73.9158,31.3,59.7,0.571,4,56.0,12.16,100
2025-06-18,36.7116,91.9675,36.4,39.0,0.921,2,108.8,18.84,200
2025-06-13,12.0624,84.173,36.0,30.2,0.86,1,102.0,16.48,200
2025-06-14,23.0316,69.5837,31.9,62.4,0.758,4,80.9,17.48,100
2025-06-27,33.4438,96.1835,23.2,54.2,0.761,0,70.9,14.59,100
2025-06-17,29.4823,82.8658,47.0,26.7,0.195,3,56.4,3.99,100
2025-06-25,28.2135,76.4354,40.7,47.7,0.344,1,55.1,3.53,100
2025-06-15,28.372,81.6128,35.6,56.0,0.16,3,26.7,2.89,50
2025-06-06,18.4252,92.8779,28.2,77.9,0.108,2,12.4,2.43,50
2025-06-15,16.5142,76.8422,31.4,25.3,0.242,2,38.4,7.76,50
2025-06-27,31.4715,73.5876,29.3,44.4,0.892,2,78.9,18.7,100
2025-06-12,31.4933,71.7431,38.3,77.6,0.316,2,48.2,4.29,50
2025-06-07,33.1451,76.6379,33.3,65.4,0.973,0,83.4,19.66,100
2025-06-22,34.484,90.6214,28.1,40.3,0.638,2,58.1,12.85,100
2025-06-10,22.8289,81.6772,29.6,79.2,0.314,2,49.7,8.42,50
2025-06-05,22.544,74.597,37.6,54.5,0.547,2,58.2,9.02,100
2025-06-21,31.1506,72.8194,40.0,54.9,0.297,0,28.4,8.36,50
2025-06-17,26.849,77.6492,39.6,88.4,0.986,2,103.5,21.61,200
2025-06-18,28.357,95.2578,35.8,86.3,0.863,3,102.1,18.34,200
2025-06-01,31.078,77.9478,30.7,45.1,0.124,2,12.1,0.5,50
2025-06-07,33.8102,96.6556,15.8,29.8,0.953,1,63.9,16.64,100
2025-06-16,17.8019,82.0717,33.5,42.8,0.749,0,92.2,16.35,100
2025-06-30,18.8919,73.1958,32.0,22.1,0.174,0,24.7,5.09,50
2025-06-15,10.7255,93.8431,32.7,21.5,0.704,1,62.9,16.66,100
2025-06-20,24.7701,81.3503,32.3,47.7,0.682,2,69.4,17.97,100
2025-06-07,9.0423,88.5805,25.4,85.9,0.297,1,44.1,7.94,50
2025-06-13,21.5023,96.5276,34.8,81.0,0.783,0,82.4,16.47,100
2025-06-25,23.7367,69.4551,35.2,55.8,0.178,1,10.0,8.84,50
2025-06-13,16.3097,70.8041,35.4,59.6,0.541,3,66.9,11.23,100
2025-06-02,25.1342,88.8932,36.7,20.4,0.109,0,24.8,1.98,50
2025-06-29,8.8845,76.1729,35.0,35.1,0.972,1,118.0,16.86,200
2025-06-10,9.0831,73.3447,29.9,21.7,0.776,1,73.5,17.27,100
2025-06-18,31.8554,69.1415,31.6,72.8,0.243,2,31.1,5.45,50
2025-06-20,18.4455,68.6336,32.5,30.2,0.408,2,47.0,7.92,50
2025-06-24,11.6848,90.4601,32.5,80.8,0.245,1,28.2,4.2,50
2025-06-04,23.1451,71.8986,37.0,65.0,0.79,1,92.7,14.71,100
2025-06-22,30.3298,81.5639,35.2,36.1,0.153,2,29.1,3.72,50
2025-06-29,14.2588,85.571,42.4,31.0,0.856,2,109.7,15.24,200
2025-06-20,26.0638,80.4222,43.0,63.9,0.948,0,123.5,16.26,200
2025-06-20,10.4751,68.7861,32.4,83.1,0.709,3,51.7,13.47,100
2025-06-01,9.4988,90.7215,12.8,70.3,0.292,3,10.0,6.1,50
2025-06-07,23.4093,68.3049,38.2,44.4,0.424,3,56.8,9.05,100
2025-06-13,23.6784,90.0948,29.3,61.1,0.53,1,53.1,7.0,100
2025-06-01,26.4855,93.9058,28.0,41.8,0.644,1,51.2,12.35,100
2025-06-29,29.0566,80.5524,30.0,89.9,0.702,1,66.9,12.86,100
2025-06-23,36.2997,83.5307,29.8,72.4,0.599,3,51.3,15.05,100
2025-06-24,22.9727,81.8325,35.1,63.0,0.416,0,55.1,6.52,100
2025-06-29,17.3657,79.287,24.2,49.6,0.902,1,72.6,20.55,100
2025-06-03,31.0604,93.7353,26.6,63.3,0.173,2,14.3,7.94,50
2025-06-12,15.8541,93.9241,33.7,43.9,0.52,4,67.8,14.73,100
2025-06-14,20.7302,77.7387,35.1,22.0,0.798,4,78.7,16.0,100
2025-06-06,10.2752,85.837,35.2,47.7,0.155,0,10.0,4.14,50
2025-06-15,8.7352,94.8803,28.1,85.1,0.735,9,63.0,17.27,100
2025-06-29,35.9168,95.8997,27.1,63.8,0.838,0,70.7,15.11,100
2025-06-18,32.2434,82.7598,29.5,25.9,0.695,0,69.2,12.38,100
2025-06-09,28.1833,81.1319,33.2,81.9,0.112,0,10.0,2.51,50
2025-06-23,19.8596,76.0821,39.4,38.8,0.262,0,56.4,3.49,100
2025-06-20,13.0255,95.8073,21.8,37.1,0.408,0,15.9,8.24,50
2025-06-19,12.5367,72.1416,30.9,40.8,0.31,4,18.9,10.72,50
2025-06-26,15.257,84.8151,25.3,60.4,0.966,1,90.2,17.62,100
2025-06-28,23.9276,76.194,23.7,58.1,0.686,2,57.9,11.5,100
2025-06-26,28.7233,76.0912,36.8,54.4,0.367,2,60.6,7.06,100
2025-06-26,27.1457,79.7441,34.7,70.2,0.937,1,98.0,22.1,100
2025-06-16,16.1181,96.965,34.2,42.2,0.767,3,80.1,18.22,100
2025-06-02,35.6911,69.594,36.6,74.7,0.356,1,52.0,5.91,100
2025-06-13,29.399,84.7777,29.6,32.3,0.441,0,53.0,6.73,100
2025-06-03,24.0763,70.3946,29.8,74.8,0.279,3,10.0,7.73,50
2025-06-08,25.7399,72.4811,42.9,66.5,0.974,4,117.4,21.68,200
2025-06-09,20.1684,80.7473,30.8,67.8,0.566,1,79.4,13.07,100
2025-06-16,15.1842,82.8033,35.7,53.7,0.906,2,92.9,16.81,100
2025-06-02,18.3232,75.505,32.0,66.7,0.412,2,45.7,9.07,50
2025-06-03,29.9775,77.1773,22.8,25.6,0.875,2,86.9,20.29,100
2025-06-12,8.4174,70.522,21.8,79.6,0.148,0,10.0,5.22,50
2025-06-08,11.3661,76.7934,29.1,23.9,0.984,2,86.5,18.2,100
2025-06-13,9.3341,96.0302,37.3,30.4,0.921,0,102.4,18.25,200
2025-06-05,9.1811,95.3965,35.9,60.4,0.427,2,39.2,8.97,50
2025-06-14,32.8084,77.7115,36.6,71.8,0.797,4,78.9,16.27,100
2025-06-03,28.4061,84.5548,27.1,25.3,0.777,1,84.4,14.57,100
2025-06-05,21.751,94.3783,40.1,84.5,0.911,1,114.8,19.85,200
2025-06-04,10.8372,68.1793,27.2,88.2,0.377,1,51.4,6.51,100
